source target
BEM2 FKS1
BEM2 SWE1
BEM2 PXL1
BEM2 ACT1
BEM2 CLA4
BEM2 RTS1
BEM2 RIO2
BEM2 BEM1
BEM2 ICE2
BEM2 SEM1
BEM2 SRP54
BEM2 ARC40
BEM2 TPM1
BEM2 SEC66
BEM2 YCK1
BEM2 PHO85
BEM2 SMI1
BEM2 BNI1
BEM2 BEM3
BEM2 RHO1
BEM2 SLT2
BEM2 DOA1
BEM2 MSB1
BEM2 BUD14
BEM2 ARO1
BEM2 SAP185
BEM2 SIT4
BEM2 IKI3
BEM2 TOR1
BEM2 CHS5
BEM2 GIM5
BEM2 SNF1
BEM2 ROM2
BEM2 BRE5
BEM2 CDH1
BEM2 SSD1
BEM2 ARP2
BEM2 PCL1
BEM2 SPA2
YOL019W SLT2
UBA1 RPN11
UBA1 ORC2
UBA1 UBC6
UBA1 CDC34
UBA1 SER1
UBA1 UBC7
UBA1 UBC4
UBA1 UBC1
UBA1 RAD6
UBA1 UBI4
YDL206W PUF3
YDL206W CHS1
YDL206W CHS5
FZO1 DNM1
FZO1 SEM1
FZO1 PUF3
FZO1 MDV1
FZO1 FIS1
FZO1 MGM1
FZO1 PRE9
FZO1 UGO1
FZO1 MIA40
FZO1 RPN4
FZO1 PDR3
FZO1 MDM30
AGP1 GNP1
AGP1 GAP1
AGP1 EMC6
AGP1 IFA38
AGP1 TOR1
AGP1 RCK1
AGP1 MKK1
AGP1 SHR3
AGP1 KIN2
tI(GAU)Q ISM1
tI(GAU)Q NAM2
APS2 APL1
RRN9 CDC14
RRN9 SPT15
RRN9 RRN10
RRN9 RRN5
RRN9 RRN7
PMT7 PGA3
NMT1 FAA2
NMT1 FAS1
SAC6 ABP1
SAC6 CAP2
SAC6 ARC40
SAC6 SKT5
SAC6 BBC1
SAC6 ARC15
SAC6 ACT1
SAC6 TOR1
SAC6 CHS5
SAC6 SCP1
SAC6 CHS7
SAC6 BNI1
SAC6 RPN11
SAC6 PIK1
SAC6 RFA1
SAC6 SLA2
SAC6 CHS3
SAC6 ARP2
SAC6 MID2
SAC6 GET1
DPM1 SAC1
DPM1 OPI3
DPM1 ALG9
DPM1 TLG2
DPM1 ALG12
DPM1 GAS1
DPM1 RPN11
DPM1 ALG6
SLT2 GUP1
SLT2 BCK1
SLT2 ELP3
SLT2 SSN8
SLT2 CDC28
SLT2 AIM44
SLT2 DEG1
SLT2 PIR1
SLT2 SEC11
SLT2 ERI1
SLT2 ACT1
SLT2 MID2
SLT2 MKK2
SLT2 CNB1
SLT2 RGL1
SLT2 PKC1
SLT2 PPZ2
SLT2 PAF1
SLT2 SEC28
SLT2 MNN10
SLT2 SGD1
SLT2 NAB6
SLT2 ICE2
SLT2 ARC35
SLT2 SDP1
SLT2 RVS161
SLT2 SEC66
SLT2 GLC7
SLT2 PEX13
SLT2 ZDS1
SLT2 SEC13
SLT2 BNI1
SLT2 RVS167
SLT2 RHO1
SLT2 ANP1
SLT2 ERS1
SLT2 MNN2
SLT2 PEX22
SLT2 PCL2
SLT2 MEH1
SLT2 IZH3
SLT2 SNF5
SLT2 VPS27
SLT2 MET22
SLT2 SSK2
SLT2 CWH41
SLT2 RPS21B
SLT2 PCL1
SLT2 COG3
SLT2 KEL2
SLT2 MKK1
SLT2 SSO1
SLT2 KRE1
SLT2 OST2
SLT2 SLG1
SLT2 PRB1
SLT2 PEA2
SLT2 CHS5
SLT2 PTC1
SLT2 OPI3
SLT2 HSP82
SLT2 ROT2
SLT2 IRA2
SLT2 VMS1
SLT2 ACS2
SLT2 RUD3
SLT2 SNT309
SLT2 SKN7
SLT2 CNE1
SLT2 GAS1
SLT2 GSH1
SLT2 PIN4
SLT2 SWI5
SLT2 FAB1
SLT2 ECM33
SLT2 CMD1
SLT2 SEC9
SLT2 GWT1
SLT2 ATG21
SLT2 ARV1
SLT2 OST6
SLT2 PHO85
SLT2 SLA1
SLT2 EBS1
SLT2 FKS1
SLT2 HOC1
SLT2 CDC3
SLT2 PTP3
SLT2 UBC1
SLT2 PEX19
SLT2 VAC14
SLT2 KTI12
SLT2 CWH43
SLT2 BEM3
SLT2 VPS24
SLT2 TSC11
SLT2 KIC1
SLT2 SRO7
SLT2 PAL1
SLT2 PER1
SLT2 PTP2
SLT2 SIR3
SLT2 PGM1
SLT2 YHC1
SLT2 RPN4
SLT2 YNL181W
SLT2 EDE1
SLT2 MSG5
SLT2 HPT1
SLT2 SHP1
SLT2 TRS65
SLT2 RPP2B
SLT2 PRS3
