source target
STAP1 CCND3
ATG5 ATG3
ATG5 IKBIP
ATG5 WIPI2
TSPAN2 HSDL1
TSPAN2 SNX14
TSPAN2 SNX13
TSPAN2 ARF6
TSPAN2 MTCH1
TSPAN2 TSPAN3
TSPAN2 LGALS3
TSPAN2 ZDHHC6
TSPAN2 DAGLB
TSPAN2 REEP6
TSPAN2 TSPAN15
TSPAN2 PTGFRN
TSPAN2 C4orf32
TSPAN2 CD63
TSPAN2 ARL6IP5
TSPAN2 LPCAT3
TSPAN2 LCLAT1
SEPT4 SEPT10
SEPT4 SEPT3
SEPT4 SEPT12
SEPT4 SEPT1
SEPT4 SEPT2
SEPT4 SEPT6
SEPT4 CDC42EP4
SEPT4 SEPT7
ECHDC1 IL13RA2
GABARAPL1 NSMAF
GABARAPL1 STBD1
GABARAPL1 TBC1D25
PITHD1 WDR59
PITHD1 RECQL5
PITHD1 FNTB
PITHD1 RPRD1A
PITHD1 EEF1A2
PITHD1 CRMP1
CD1E MAN2A2
CD1E B2M
CD1E CTAGE5
CD1E FAM69A
CD1E DPAGT1
CD1E CNTNAP3B
CD1E TMEM67
CD1E TMEM30A
CD1E CANX
CD1E MAN1A2
CD1E STIM1
CD1E PLXNA2
CD1E TMEM59L
CD1E FNDC3A
CD1E SUSD5
CD1E C1QL1
CD1E NCEH1
CD1E ANKRD46
CD1E BACE2
CD1E ENTPD7
CD1E LMAN2L
CD1E POMT1
CD1E ITGA7
CD1E ABHD14A
CD1E FCGRT
CD1E SEMA4F
CD1E KCNJ8
GRAP2 ANAPC16
GRAP2 ITCH
GRAP2 CDC27
GRAP2 GAB1
GRAP2 TRIM68
GRAP2 TNIP1
GRAP2 USP8
GRAP2 ANAPC5
GRAP2 SNX18
GRAP2 ANAPC2
GRAP2 GAREM
GRAP2 CDC23
GRAP2 GAB2
GRAP2 PTPN23
GRAP2 STAMBP
GRAP2 ZSCAN21
GRAP2 IFNAR2
PSMF1 PSMB2
PSMF1 PSMB9
PSMF1 CYP1A1
PSMF1 MRPS11
PSMF1 PSMB1
PSMF1 PSMB7
PSMF1 PSMB3
PSMF1 PSMB4
PSMF1 PSMA1
PSMF1 FBXO7
PSMF1 ALOX5
PSMF1 PSMG2
PSMF1 HIST1H1A
PSMF1 SNRNP27
PSMF1 C9orf24
CNTRL SYCE3
CNTRL FAM167A
GAR1 HIST1H1E
GAR1 WRAP53
GAR1 SYNCRIP
GAR1 NOP10
GAR1 GEMIN5
GAR1 GSTA1
GAR1 PRDM5
GAR1 COPRS
GAR1 ZCRB1
GAR1 DKC1
GAR1 CLNS1A
GAR1 RIOK1
GAR1 WDR46
GAR1 GPATCH4
GAR1 SHQ1
GAR1 PRMT5
GAR1 TRA2A
GAR1 RPL37A
GAR1 SNRNP70
GAR1 MAK16
NEBL CARKD
NEBL ZNF764
NEBL GCHFR
NEBL DHX38
SH3BGR DCP1B
SH3BGR IGF2BP3
SH3BGR DEFB127
WDR54 MEMO1
WDR54 OSCP1
WDR54 BOC
WDR54 MTMR14
WDR54 SCGB1D1
WDR54 DMD
WDR54 FLYWCH2
WDR54 DOK3
WDR54 PAPL
WDR54 MAPK8IP3
WDR54 GYG2
WDR54 APEX2
WDR54 USP16
WDR54 NAGPA
WDR54 TKT
WDR54 BCL7A
WDR54 GMEB1
WDR54 LCN15
WDR54 BCL7C
WDR54 CLEC3A
WDR54 STAC3
DMXL1 ATP6V1B1
DMXL1 ATP6V1C2
DMXL1 ROGDI
ZDHHC5 GOLGA7B
ZDHHC5 CLDND1
ZDHHC5 HAVCR2
ZDHHC5 GPR21
ZDHHC5 TMEFF1
KIN METTL22
AARS2 FGL1
AARS2 APP
AARS2 RBM3
AARS2 OXLD1
AARS2 TRMT1
AARS2 IL1R2
AARS2 SUCLG1
AARS2 CD70
AARS2 EPHA1
